Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Toyota,Verso-S,22.05,3.6,73.0,1329.0,petrol,1546,1546,177,2757
Ford,Granada,18.85,4.08,87.08,2326.36,petrol,2367,2367,74,2722
Volvo,960,40.76,4.33,133.33,2634.22,petrol,2104,2104,148,2703
Ford,Scorpio,30.86,4.45,105.55,2458.91,petrol,2225,2225,108,2682
Volkswagen,Corrado,35.34,5.0,118.0,1781.0,petrol,2258,2258,115,2680
Alfa-Romeo,Brera,53.1,6.0,163.71,2679.29,petrol,2071,2071,126,2593
Toyota,Supra,81.3,8.0,250.0,2998.0,petrol,2235,2235,79,2583
Honda,Shuttle,30.08,4.0,110.0,2254.0,petrol,1741,1741,171,2550
Mazda,MX-3,22.13,5.0,83.0,1721.5,petrol,1272,1272,135,2442
Citroen,C-Crosser,35.73,4.4,121.0,2287.6,petrol,1621,1621,91,2388
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,2123,2123,76,2371
Mercedes,Viano,57.23,5.23,120.43,2309.34,diesel,1758,1758,174,2368
Audi,S5,105.46,8.0,257.5,2981.0,petrol,1931,1931,129,2360
Honda,CR-Z,27.12,6.0,101.0,1497.0,petrol,1413,1413,160,2312
Subaru,Justy,11.74,5.0,51.0,998.0,petrol,1043,1043,149,2269
Chrysler,Sebring,37.47,5.5,114.5,2167.5,petrol,1650,1650,92,2237
Dodge,Nitro,47.88,5.11,141.44,3106.67,diesel,1554,1554,91,2204
Mercedes,GLK,59.05,6.75,144.38,2417.88,diesel,1542,1542,137,2195
Citroen,Nemo,13.44,5.0,54.5,1304.0,petrol,1410,1410,99,2193
Chevrolet,Cruze,28.17,5.58,103.0,1706.33,petrol,1617,1617,103,2168
Peugeot,4007,42.93,3.86,122.14,2308.29,petrol,1419,1419,86,2163
Mercedes,Vaneo,28.97,5.0,72.62,1707.12,petrol,1309,1309,174,2159
Aston-Martin,DB7,158.82,4.5,250.0,3228.0,petrol,1864,1864,111,2150
Mazda,Tribute,38.02,4.5,129.5,2614.0,petrol,1308,1308,100,2107
Mazda,121,13.19,5.0,51.33,1431.33,petrol,916,916,124,2091
Honda,Logo,13.38,2.5,48.0,1343.0,petrol,764,764,135,2081
Seat,Exeo,33.86,5.38,116.25,1925.25,petrol,1755,1755,60,2078
Daihatsu,Copen,23.81,5.0,64.0,1298.0,petrol,540,540,155,2017
Peugeot,309,14.35,4.88,59.5,1642.88,petrol,1422,1422,80,1976
Renault,19,16.29,4.8,57.87,1645.13,petrol,1296,1296,89,1963
Kia,Pride,9.36,4.33,47.0,1324.0,petrol,993,993,100,1956
Lexus,GS,78.48,0.89,224.78,3196.56,petrol,1602,1602,136,1940
Toyota,Hilux,46.6,6.0,110.0,2393.0,diesel,1581,1581,73,1918
Ford,Probe,24.84,5.0,102.0,2244.0,petrol,1410,1410,79,1860
Daewoo,Leganza,23.24,4.5,98.0,1998.0,petrol,1375,1375,97,1857
